study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Chu_2021_BSE,Chu_γ1.1_kb_β0.6_Madau_Dickinson_to_γ1.3_kb_β0.6_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.1_kb_β0.6_Madau_Dickinson,Chu_γ1.3_kb_β0.6_Madau_Dickinson,angular momentum,gamma,γ1.1_kb_β0.6_Madau_Dickinson to γ1.3_kb_β0.6_Madau_Dickinson,1.1,1.3,287,417,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.6_Madau_Dickinson_to_γ1.5_kb_β0.6_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.3_kb_β0.6_Madau_Dickinson,Chu_γ1.5_kb_β0.6_Madau_Dickinson,angular momentum,gamma,γ1.3_kb_β0.6_Madau_Dickinson to γ1.5_kb_β0.6_Madau_Dickinson,1.3,1.5,417,849,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.6_Madau_Dickinson_to_γ1.7_kb_β0.6_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.5_kb_β0.6_Madau_Dickinson,Chu_γ1.7_kb_β0.6_Madau_Dickinson,angular momentum,gamma,γ1.5_kb_β0.6_Madau_Dickinson to γ1.7_kb_β0.6_Madau_Dickinson,1.5,1.7,849,59.8,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.9_Millennium-II_to_α0.1_kh_β0.9_Millennium-II,Chu_2021_BSE,Chu_α0.1_kl_β0.9_Millennium-II,Chu_α0.1_kh_β0.9_Millennium-II,natal kick,sigma,α0.1_kl_β0.9_Millennium-II to α0.1_kh_β0.9_Millennium-II,kl,kh,23.7,188,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.9_Millennium-II_to_α0.1_kb_β0.9_Millennium-II,Chu_2021_BSE,Chu_α0.1_kh_β0.9_Millennium-II,Chu_α0.1_kb_β0.9_Millennium-II,natal kick,sigma,α0.1_kh_β0.9_Millennium-II to α0.1_kb_β0.9_Millennium-II,kh,kb,188,160,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.9_EAGLE_to_α0.1_kh_β0.9_EAGLE,Chu_2021_BSE,Chu_α0.1_kl_β0.9_EAGLE,Chu_α0.1_kh_β0.9_EAGLE,natal kick,sigma,α0.1_kl_β0.9_EAGLE to α0.1_kh_β0.9_EAGLE,kl,kh,1.1,71.2,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.9_EAGLE_to_α0.1_kb_β0.9_EAGLE,Chu_2021_BSE,Chu_α0.1_kh_β0.9_EAGLE,Chu_α0.1_kb_β0.9_EAGLE,natal kick,sigma,α0.1_kh_β0.9_EAGLE to α0.1_kb_β0.9_EAGLE,kh,kb,71.2,19.3,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.9_Illustris-TNG_to_α0.1_kh_β0.9_Illustris-TNG,Chu_2021_BSE,Chu_α0.1_kl_β0.9_Illustris-TNG,Chu_α0.1_kh_β0.9_Illustris-TNG,natal kick,sigma,α0.1_kl_β0.9_Illustris-TNG to α0.1_kh_β0.9_Illustris-TNG,kl,kh,13.9,143,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.9_Illustris-TNG_to_α0.1_kb_β0.9_Illustris-TNG,Chu_2021_BSE,Chu_α0.1_kh_β0.9_Illustris-TNG,Chu_α0.1_kb_β0.9_Illustris-TNG,natal kick,sigma,α0.1_kh_β0.9_Illustris-TNG to α0.1_kb_β0.9_Illustris-TNG,kh,kb,143,92.6,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.9_Madau_Dickinson_to_α0.1_kh_β0.9_Madau_Dickinson,Chu_2021_BSE,Chu_α0.1_kl_β0.9_Madau_Dickinson,Chu_α0.1_kh_β0.9_Madau_Dickinson,natal kick,sigma,α0.1_kl_β0.9_Madau_Dickinson to α0.1_kh_β0.9_Madau_Dickinson,kl,kh,214,161,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.9_Madau_Dickinson_to_α0.1_kb_β0.9_Madau_Dickinson,Chu_2021_BSE,Chu_α0.1_kh_β0.9_Madau_Dickinson,Chu_α0.1_kb_β0.9_Madau_Dickinson,natal kick,sigma,α0.1_kh_β0.9_Madau_Dickinson to α0.1_kb_β0.9_Madau_Dickinson,kh,kb,161,358,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.8_Millennium-II_to_α0.1_kh_β0.8_Millennium-II,Chu_2021_BSE,Chu_α0.1_kl_β0.8_Millennium-II,Chu_α0.1_kh_β0.8_Millennium-II,natal kick,sigma,α0.1_kl_β0.8_Millennium-II to α0.1_kh_β0.8_Millennium-II,kl,kh,27.8,23.3,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.8_Millennium-II_to_α0.1_kb_β0.8_Millennium-II,Chu_2021_BSE,Chu_α0.1_kh_β0.8_Millennium-II,Chu_α0.1_kb_β0.8_Millennium-II,natal kick,sigma,α0.1_kh_β0.8_Millennium-II to α0.1_kb_β0.8_Millennium-II,kh,kb,23.3,63.9,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.8_EAGLE_to_α0.1_kh_β0.8_EAGLE,Chu_2021_BSE,Chu_α0.1_kl_β0.8_EAGLE,Chu_α0.1_kh_β0.8_EAGLE,natal kick,sigma,α0.1_kl_β0.8_EAGLE to α0.1_kh_β0.8_EAGLE,kl,kh,125,96.2,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.8_EAGLE_to_α0.1_kb_β0.8_EAGLE,Chu_2021_BSE,Chu_α0.1_kh_β0.8_EAGLE,Chu_α0.1_kb_β0.8_EAGLE,natal kick,sigma,α0.1_kh_β0.8_EAGLE to α0.1_kb_β0.8_EAGLE,kh,kb,96.2,201,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.8_Illustris-TNG_to_α0.1_kh_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_α0.1_kl_β0.8_Illustris-TNG,Chu_α0.1_kh_β0.8_Illustris-TNG,natal kick,sigma,α0.1_kl_β0.8_Illustris-TNG to α0.1_kh_β0.8_Illustris-TNG,kl,kh,441,172,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.8_Illustris-TNG_to_α0.1_kb_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_α0.1_kh_β0.8_Illustris-TNG,Chu_α0.1_kb_β0.8_Illustris-TNG,natal kick,sigma,α0.1_kh_β0.8_Illustris-TNG to α0.1_kb_β0.8_Illustris-TNG,kh,kb,172,0.4,,NS-NS
Chu_2021_BSE,Chu_α0.1_kl_β0.8_Madau_Dickinson_to_α0.1_kh_β0.8_Madau_Dickinson,Chu_2021_BSE,Chu_α0.1_kl_β0.8_Madau_Dickinson,Chu_α0.1_kh_β0.8_Madau_Dickinson,natal kick,sigma,α0.1_kl_β0.8_Madau_Dickinson to α0.1_kh_β0.8_Madau_Dickinson,kl,kh,82.4,76.9,,NS-NS
Chu_2021_BSE,Chu_α0.1_kh_β0.8_Madau_Dickinson_to_α0.1_kb_β0.8_Madau_Dickinson,Chu_2021_BSE,Chu_α0.1_kh_β0.8_Madau_Dickinson,Chu_α0.1_kb_β0.8_Madau_Dickinson,natal kick,sigma,α0.1_kh_β0.8_Madau_Dickinson to α0.1_kb_β0.8_Madau_Dickinson,kh,kb,76.9,14.1,,NS-NS
